sun_x,sun_y,sun_z
3.3580311175765368e-06,-1.7997083392732648e-05,-2.2016745821242405e-08
3.3963241909573334e-06,-1.824000179780014e-05,-2.1752334324904563e-08
3.4349668161048488e-06,-1.8484827520249757e-05,-2.148441838265309e-08
3.4739694446118126e-06,-1.87315674497114e-05,-2.1213797822112155e-08
3.513342829406414e-06,-1.8980227984470093e-05,-2.0941269459272965e-08
3.553097972577891e-06,-1.923081504107445e-05,-2.066762340418109e-08
3.593246080306448e-06,-1.9483334067821115e-05,-2.0393640327678294e-08
3.6337985243049907e-06,-1.9737790060669753e-05,-2.012008951661426e-08
3.6747668090875978e-06,-1.9994187580479133e-05,-1.984772756392259e-08
3.7161625443556405e-06,-2.0252530770737405e-05,-1.9577297560843764e-08
3.7579974218130793e-06,-2.051282337518967e-05,-1.9309528679271293e-08
3.80028319577004e-06,-2.077506875494806e-05,-1.9045136051453685e-08
3.843031666955534e-06,-2.103926990481056e-05,-1.8784820871470048e-08
3.886254669027464e-06,-2.1305429468621104e-05,-1.852927065777703e-08
3.929964057335222e-06,-2.1573549753582343e-05,-1.8279159628717553e-08
3.974171699553798e-06,-2.1843632743488858e-05,-1.803514915334767e-08
4.01888946786653e-06,-2.2115680110888184e-05,-1.7797888248506896e-08
4.064129232425515e-06,-2.2389693228203382e-05,-1.756801409998443e-08
4.10990285586428e-06,-2.2665673177867505e-05,-1.7346152591169808e-08
4.1562221886765774e-06,-2.2943620761529552e-05,-1.7132918826952376e-08
4.203099065308863e-06,-2.3223536508395694e-05,-1.69289176440553e-08
4.250545300842488e-06,-2.3505420682769682e-05,-1.6734744101631902e-08
4.298572688165648e-06,-2.378927329085408e-05,-1.6550983947963334e-08
4.3471929955552095e-06,-2.4075094086869703e-05,-1.637821406059898e-08
4.3964179646052435e-06,-2.4362882578545185e-05,-1.6217002858373325e-08
4.446259308452914e-06,-2.4652638032022398e-05,-1.6067910684495057e-08
4.496728710263715e-06,-2.4944359476216745e-05,-1.593149016039795e-08
4.547837821947368e-06,-2.523804570666408e-05,-1.580828651031674e-08
4.5995982630830526e-06,-2.5533695288878932e-05,-1.5698837856640493e-08
4.652021620038623e-06,-2.5831306561240976e-05,-1.560367548602721e-08
4.705119445272899e-06,-2.6130877637419267e-05,-1.5523324086052824e-08
4.7589032568133696e-06,-2.643240640833574e-05,-1.545830195182538e-08
4.8133845379036915e-06,-2.6735890543661418e-05,-1.54091211615238e-08
4.8685747368162155e-06,-2.7041327492830466e-05,-1.537628771921631e-08
4.924485266824453e-06,-2.7348714485548318e-05,-1.536030166256785e-08
4.981127506328748e-06,-2.765804853176099e-05,-1.5361657132143862e-08
5.038512799125361e-06,-2.7969326421042803e-05,-1.538084239793934e-08
5.096652454804396e-06,-2.8282544721349513e-05,-1.541833983748205e-08
5.155557749255348e-06,-2.859769977707273e-05,-1.5474625858346234e-08
5.2152399252499284e-06,-2.891478770631987e-05,-1.55501707561323e-08
5.275710193059989e-06,-2.923380439733174e-05,-1.5645438496877772e-08
5.336979731052964e-06,-2.9554745503937014e-05,-1.5760886410421538e-08
5.3990596861877595e-06,-2.987760643993007e-05,-1.589696477840001e-08
5.461961174309385e-06,-3.0202382372246055e-05,-1.6054116297265164e-08
5.52569528010993e-06,-3.052906821279512e-05,-1.6232775392940852e-08
5.590273056585488e-06,-3.085765860880822e-05,-1.6433367359449277e-08
5.655705523772033e-06,-3.118814793154031e-05,-1.6656307289041797e-08
5.7220036664866475e-06,-3.152053026317577e-05,-1.6901998756097628e-08
5.789178430732564e-06,-3.1854799381788225e-05,-1.7170832211413813e-08
5.8572407183459555e-06,-3.2190948744226134e-05,-1.7463183037701414e-08
5.926201379368656e-06,-3.252897146683187e-05,-1.7779409211468384e-08
5.996071201524098e-06,-3.286886030396169e-05,-1.8119848511549055e-08
6.066860896055427e-06,-3.321060762436535e-05,-1.848481521114433e-08
6.1385810790590285e-06,-3.35542053856165e-05,-1.8874596189530748e-08
6.211242247321046e-06,-3.389964510697019e-05,-1.9289446403194434e-08
6.284854747551609e-06,-3.424691784127325e-05,-1.972958366619522e-08
6.3594287378305785e-06,-3.4596014146879894e-05,-2.019518270880296e-08
6.43497414005782e-06,-3.494692406093592e-05,-2.0686368515173878e-08
6.511500582278312e-06,-3.529963707589521e-05,-2.1203208988747533e-08
6.589017329976583e-06,-3.565414212170901e-05,-2.1745707061829876e-08
6.667533205863784e-06,-3.601042755675662e-05,-2.2313792456396043e-08
6.7470564983752285e-06,-3.636848117120359e-05,-2.2907313417409722e-08
6.827594860109673e-06,-3.672829020699052e-05,-2.3526028875096748e-08
6.909155198801134e-06,-3.708984139893185e-05,-2.4169601639949987e-08
6.991743565094141e-06,-3.7453121041266496e-05,-2.4837593377096193e-08
7.075365043285944e-06,-3.7818115083251633e-05,-2.552946221896633e-08
7.160023653085836e-06,-3.8184809255848055e-05,-2.6244563922169647e-08
7.245722271983086e-06,-3.855318922910596e-05,-2.6982157416550098e-08
7.33246258857529e-06,-3.892324079657683e-05,-2.7741415395844364e-08
7.420245096729692e-06,-3.929495007922749e-05,-2.852144024082285e-08
7.509069138376898e-06,-3.9668303737451417e-05,-2.9321285058520573e-08
7.598932998973685e-06,-4.0043289176607786e-05,-3.013997901737199e-08
7.689834054512857e-06,-4.0419894729879643e-05,-3.09765555509311e-08
7.781768963123217e-06,-4.079810980277639e-05,-3.183008151123926e-08
7.87473388882829e-06,-4.117792496655401e-05,-3.269968509160484e-08
7.968724741019169e-06,-4.155933199287136e-05,-3.358458038271957e-08
8.063737411488916e-06,-4.1942323828294244e-05,-3.448408678358328e-08
8.159767991798583e-06,-4.232689451362632e-05,-3.539764209368893e-08
8.256812957009128e-06,-4.271303905832852e-05,-3.6324808844013686e-08
8.354869306631082e-06,-4.310075328365417e-05,-3.72652741413118e-08
8.453934658989112e-06,-4.3490033649259837e-05,-3.821884388311838e-08
8.554007300109325e-06,-4.388087707714939e-05,-3.918543257757928e-08
8.655086192035156e-06,-4.427328078442953e-05,-4.01650501562272e-08
8.757170947859119e-06,-4.46672421332024e-05,-4.1157787128659976e-08
8.86026178175603e-06,-4.506275850264526e-05,-4.2163799251965314e-08
8.964359442178242e-06,-4.545982718540473e-05,-4.318329263750686e-08
9.069465135483661e-06,-4.5858445308131936e-05,-4.4216509947978764e-08
9.17558044596635e-06,-4.6258609774383124e-05,-4.526371808745535e-08
9.28270725683478e-06,-4.6660317227159563e-05,-4.632519757874696e-08
9.39084767533221e-06,-4.706356402793767e-05,-4.7401233663970354e-08
9.50000396402997e-06,-4.746834624900346e-05,-4.849210905443964e-08
9.61017847939366e-06,-4.7874659676116713e-05,-4.9598098187927286e-08
9.721373618024724e-06,-4.828249981888148e-05,-5.0719462816019935e-08
9.833591770490375e-06,-4.8691861926606516e-05,-5.185644873268312e-08
9.946835282336246e-06,-4.9102741007848965e-05,-5.3009283459393576e-08
